Carrera                              ,Puntaje_Minimo ,Cupos ,Año-Periodo
Música:_Dirección                    ,      530.1245 ,    6 ,     2016.6
Administración_de_Empresas           ,      673.0349 ,   75 ,     2017.1
Antropología                         ,      653.9431 ,   45 ,     2017.1
Arquitectura                         ,      693.7228 ,   82 ,     2017.1
Biología                             ,      693.2767 ,   63 ,     2017.1
Ciencia_Política                     ,      659.6061 ,   82 ,     2017.1
Contaduría_Pública                   ,      650.1143 ,   65 ,     2017.1
Derecho                              ,      685.4351 ,   79 ,     2017.1
Diseño_Gráfico                       ,      694.9290 ,   30 ,     2017.1
Diseño_Industrial                    ,      681.3486 ,   50 ,     2017.1
Economía                             ,      689.5389 ,   85 ,     2017.1
Enfermería                           ,      648.0527 ,   99 ,     2017.1
Español_Y_Filología_Clásica          ,      632.0230 ,   31 ,     2017.1
Estadística                          ,      650.1381 ,   61 ,     2017.1
Estudios_Literarios                  ,      658.2894 ,   42 ,     2017.1
Farmacia                             ,      675.6314 ,   63 ,     2017.1
Filología_e_Idiomas:_Alemán          ,      650.7965 ,   22 ,     2017.1
Filología_e_Idiomas:_Francés         ,      654.8374 ,   22 ,     2017.1
Filología_e_Idiomas:_Inglés          ,      652.6156 ,   44 ,     2017.1
Filosofía                            ,      640.5446 ,   50 ,     2017.1
Física                               ,      700.8714 ,   72 ,     2017.1
Fonoaudiología                       ,      626.2343 ,   70 ,     2017.1
Geografía                            ,      636.2155 ,   40 ,     2017.1
Geología                             ,      722.3497 ,   31 ,     2017.1
Historia                             ,      645.9997 ,   60 ,     2017.1
Ingeniería_Agrícola                  ,      649.0791 ,   99 ,     2017.1
Ingeniería_Agronómica                ,      641.7984 ,  130 ,     2017.1
Ingeniería_Civil                     ,      713.7350 ,  111 ,     2017.1
Ingeniería_de_Sistemas_y_Computación ,      703.2537 ,   93 ,     2017.1
Ingeniería_Eléctrica                 ,      700.0246 ,   55 ,     2017.1
Ingeniería_Electrónica               ,      742.9120 ,   55 ,     2017.1
Ingeniería_Industrial                ,      719.1641 ,   44 ,     2017.1
Ingeniería_Mecánica                  ,      721.4185 ,   78 ,     2017.1
Ingeniería_Mecatrónica               ,      791.5727 ,   42 ,     2017.1
Ingeniería_Química                   ,      700.3062 ,  125 ,     2017.1
Lingüística                          ,      628.2678 ,   35 ,     2017.1
Matemáticas                          ,      690.3899 ,   50 ,     2017.1
Medicina                             ,      756.2693 ,  122 ,     2017.1
Medicina_Veterinaria                 ,      665.0547 ,   54 ,     2017.1
Nutrición_Y_Dietética                ,      643.6067 ,   53 ,     2017.1
Odontología                          ,      648.1241 ,   70 ,     2017.1
Psicología                           ,      676.2833 ,   65 ,     2017.1
Química                              ,      680.4499 ,   79 ,     2017.1
Sociología                           ,      648.4685 ,   59 ,     2017.1
Terapia_Ocupacional                  ,      625.0649 ,   55 ,     2017.1
Trabajo_Social                       ,      632.7982 ,   47 ,     2017.1
Zootecnia                            ,      628.5364 ,   56 ,     2017.1
Administración_de_Empresas           ,      633.6400 ,  110 ,     2017.6
Antropología                         ,      655.6600 ,   35 ,     2017.6
Arquitectura                         ,      659.6200 ,   77 ,     2017.6
Biología                             ,      666.2100 ,   60 ,     2017.6
Ciencia_Política                     ,      635.5300 ,   84 ,     2017.6
Contaduría_Pública                   ,      623.9700 ,  110 ,     2017.6
Derecho                              ,      650.3400 ,   81 ,     2017.6
Diseño_Gráfico                       ,      687.4800 ,   30 ,     2017.6
Diseño_Industrial                    ,      652.7100 ,   50 ,     2017.6
Economía                             ,      652.3500 ,  110 ,     2017.6
Enfermería                           ,      626.7500 ,  110 ,     2017.6
Español_Y_Filología Clásica          ,      626.6700 ,   31 ,     2017.6
Estadística                          ,      640.6500 ,   57 ,     2017.6
Farmacia                             ,      651.7100 ,   59 ,     2017.6
Filología_e_Idiomas:_Alemán          ,      628.2400 ,   22 ,     2017.6
Filología_e_Idiomas:_Francés         ,      630.7000 ,   22 ,     2017.6
Filología_e_Idiomas:_Inglés          ,      636.0200 ,   42 ,     2017.6
Filosofía                            ,      632.4300 ,   50 ,     2017.6
Física                               ,      664.0400 ,   71 ,     2017.6
Terapia_Ocupacional                  ,      633.8400 ,   45 ,     2017.6
Geografía                            ,      625.4200 ,   30 ,     2017.6
Geología                             ,      698.8100 ,   31 ,     2017.6
Ingeniería_Agrícola                  ,      620.6500 ,  105 ,     2017.6
Ingeniería_Agronómica                ,      619.3900 ,  111 ,     2017.6
Ingeniería_Civil                     ,      670.1900 ,  105 ,     2017.6
Ingeniería_de_Sistemas_y_Computación ,      668.6700 ,   98 ,     2017.6
Ingeniería_Eléctrica                 ,      656.1900 ,   53 ,     2017.6
Ingeniería_Electrónica               ,      685.6200 ,   54 ,     2017.6
Ingeniería_Industrial                ,      689.0300 ,   47 ,     2017.6
Ingeniería_Mecánica                  ,      673.7700 ,   80 ,     2017.6
Ingeniería_Mecatrónica               ,      727.5800 ,   42 ,     2017.6
Ingeniería_Química                   ,      650.5200 ,  127 ,     2017.6
Lingüística                          ,      624.7700 ,   30 ,     2017.6
Matemáticas                          ,      650.2400 ,   50 ,     2017.6
Medicina                             ,      738.9500 ,  127 ,     2017.6
Medicina_Veterinaria                 ,      650.1800 ,   50 ,     2017.6
Nutrición_Y_Dietética                ,      632.8100 ,   49 ,     2017.6
Odontología                          ,      624.9600 ,   70 ,     2017.6
Psicología                           ,      652.3000 ,   63 ,     2017.6
Química                              ,      636.5700 ,   80 ,     2017.6
Sociología                           ,      641.5500 ,   35 ,     2017.6
Trabajo_Social                       ,      624.0900 ,   47 ,     2017.6
Administración_de_Empresas           ,      650.0314 ,  120 ,     2018.1
Antropología                         ,      666.9502 ,   37 ,     2018.1
Arquitectura                         ,      679.8182 ,   86 ,     2018.1
Biología                             ,      687.8025 ,   70 ,     2018.1
Ciencia_Política                     ,      656.6647 ,   90 ,     2018.1
Ciencias_de_la_Computación           ,      688.9605 ,   33 ,     2018.1
Contaduría_Pública                   ,      638.0235 ,  119 ,     2018.1
Derecho                              ,      677.9407 ,   89 ,     2018.1
Diseño_Gráfico                       ,      697.6622 ,   30 ,     2018.1
Diseño_Industrial                    ,      663.0672 ,   52 ,     2018.1
Economía                             ,      672.6416 ,  120 ,     2018.1
Enfermería                           ,      626.1814 ,  188 ,     2018.1
